ETAT,$,complete_command,list,and_or,SEMI,BACKGROUND,pipeline,AND_IF,OR_IF,command,PIPE,BANG,simple_command,subshell,redirect_list,L_PAREN,R_PAREN,cmd_prefix,cmd_word,cmd_suffix,cmd_name,WORD,io_redirect,ASSIGNMENT_WORD,io_file,io_here,LESS,filename,GREAT,DGREAT,LESSGREAT,ANDGREAT,DLESS,here_end,
0, , ,1,2, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
1,ACC, , , ,22,23, , , , , , , , , , ,-1, , , , , , , , , , , , , , , , , ,
2,-2, , , ,-2,24, ,25,26, , , , , , , ,-2, , , , , , , , , , , , , , , , , ,
3,-6, , , ,-6,-6, ,-6,-6, ,27, , , , , ,-6, , , , , , , , , , , , , , , , , ,
4,-9, , , ,-9,-9, ,-9,-9, ,-9, , , , , ,-9, , , , , , , , , , , , , , , , , ,
5, , , , , , ,28, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
6,-12, , , ,-12,-12, ,-12,-12, ,-12, , , , , ,-12, , , , , , , , , , , , , , , , , ,
7,-13, , , ,-13,-13, ,-13,-13, ,-13, , , ,29, ,-13, , , , , ,30, ,14,15,16, ,17,18,19,20,21, ,
8,-18, , , ,-18,-18, ,-18,-18, ,-18, , , , , ,-18, ,31, , ,34,32,33,14,15,16, ,17,18,19,20,21, ,
9,-20, , , ,-20,-20, ,-20,-20, ,-20, , , , , ,-20, , ,35, ,37,36, ,14,15,16, ,17,18,19,20,21, ,
10, ,38,1,2, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
11,-23, , , ,-23,-23, ,-23,-23, ,-23, , , , , ,-23, , , , ,-23, ,-23, , ,-23, ,-23,-23,-23,-23,-23, ,
12,-25, , , ,-25,-25, ,-25,-25, ,-25, , , , , ,-25, , , , ,-25, ,-25, , ,-25, ,-25,-25,-25,-25,-25, ,
13,-21, , , ,-21,-21, ,-21,-21, ,-21, , , , , ,-21, , , , ,-21, , , , ,-21, ,-21,-21,-21,-21,-21, ,
14,-33, , , ,-33,-33, ,-33,-33, ,-33, , , , , ,-33, , , , ,-33, ,-33, , ,-33, ,-33,-33,-33,-33,-33, ,
15,-34, , , ,-34,-34, ,-34,-34, ,-34, , , , , ,-34, , , , ,-34, ,-34, , ,-34, ,-34,-34,-34,-34,-34, ,
16, , , , , , , , , , , , , , , , , , , , , ,40, , , , , ,39, , , , , , ,
17, , , , , , , , , , , , , , , , , , , , , ,40, , , , , ,41, , , , , , ,
18, , , , , , , , , , , , , , , , , , , , , ,40, , , , , ,42, , , , , , ,
19, , , , , , , , , , , , , , , , , , , , , ,40, , , , , ,43, , , , , , ,
20, , , , , , , , , , , , , , , , , , , , , ,40, , , , , ,44, , , , , , ,
21, , , , , , , , , , , , , , , , , , , , , ,46, , , , , , , , , , , ,45,
22, , , ,47, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
23, , , ,48, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
24,-5, , , ,-5,-5, , , , , , , , , , ,-5, , , , , , , , , , , , , , , , , ,
25, , , , , , ,49, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
26, , , , , , ,50, , ,4, ,5,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
27, , , , , , , , , ,51, , ,6,7, ,10, ,8, , ,9,13,11,12,14,15,16, ,17,18,19,20,21, ,
28,-11, , , ,-11,-11, ,-11,-11, ,27, , , , , ,-11, , , , , , , , , , , , , , , , , ,
29,-14, , , ,-14,-14, ,-14,-14, ,-14, , , , , ,-14, , , , , ,52, ,14,15,16, ,17,18,19,20,21, ,
30,-31, , , ,-31,-31, ,-31,-31, ,-31, , , , , ,-31, , , , , , , , , ,-31, ,-31,-31,-31,-31,-31, ,
31,-17, , , ,-17,-17, ,-17,-17, ,-17, , , , , ,-17, , ,53, ,37,36, ,14,15,16, ,17,18,19,20,21, ,
32,-24, , , ,-24,-24, ,-24,-24, ,-24, , , , , ,-24, , , , ,-24, ,-24, , ,-24, ,-24,-24,-24,-24,-24, ,
33,-26, , , ,-26,-26, ,-26,-26, ,-26, , , , , ,-26, , , , ,-26, ,-26, , ,-26, ,-26,-26,-26,-26,-26, ,
34,-22, , , ,-22,-22, ,-22,-22, ,-22, , , , , ,-22, , , , ,-22, , , , ,-22, ,-22,-22,-22,-22,-22, ,
35,-19, , , ,-19,-19, ,-19,-19, ,-19, , , , , ,-19, , , , ,55,54, ,14,15,16, ,17,18,19,20,21, ,
36,-27, , , ,-27,-27, ,-27,-27, ,-27, , , , , ,-27, , , , ,-27, , , , ,-27, ,-27,-27,-27,-27,-27, ,
37,-29, , , ,-29,-29, ,-29,-29, ,-29, , , , , ,-29, , , , ,-29, , , , ,-29, ,-29,-29,-29,-29,-29, ,
38, , , , , , , , , , , , , , , , ,56, , , , , , , , , , , , , , , , , ,
39,-35, , , ,-35,-35, ,-35,-35, ,-35, , , , , ,-35, , , , ,-35, ,-35, , ,-35, ,-35,-35,-35,-35,-35, ,
40,-40, , , ,-40,-40, ,-40,-40, ,-40, , , , , ,-40, , , , ,-40, ,-40, , ,-40, ,-40,-40,-40,-40,-40, ,
41,-36, , , ,-36,-36, ,-36,-36, ,-36, , , , , ,-36, , , , ,-36, ,-36, , ,-36, ,-36,-36,-36,-36,-36, ,
42,-37, , , ,-37,-37, ,-37,-37, ,-37, , , , , ,-37, , , , ,-37, ,-37, , ,-37, ,-37,-37,-37,-37,-37, ,
43,-38, , , ,-38,-38, ,-38,-38, ,-38, , , , , ,-38, , , , ,-38, ,-38, , ,-38, ,-38,-38,-38,-38,-38, ,
44,-39, , , ,-39,-39, ,-39,-39, ,-39, , , , , ,-39, , , , ,-39, ,-39, , ,-39, ,-39,-39,-39,-39,-39, ,
45,-41, , , ,-41,-41, ,-41,-41, ,-41, , , , , ,-41, , , , ,-41, ,-41, , ,-41, ,-41,-41,-41,-41,-41, ,
46,-42, , , ,-42,-42, ,-42,-42, ,-42, , , , , ,-42, , , , ,-42, ,-42, , ,-42, ,-42,-42,-42,-42,-42, ,
47,-3, , , ,-3,-3, ,25,26, , , , , , , ,-3, , , , , , , , , , , , , , , , , ,
48,-4, , , ,-4,-4, ,25,26, , , , , , , ,-4, , , , , , , , , , , , , , , , , ,
49,-7, , , ,-7,-7, ,-7,-7, ,27, , , , , ,-7, , , , , , , , , , , , , , , , , ,
50,-8, , , ,-8,-8, ,-8,-8, ,27, , , , , ,-8, , , , , , , , , , , , , , , , , ,
51,-10, , , ,-10,-10, ,-10,-10, ,-10, , , , , ,-10, , , , , , , , , , , , , , , , , ,
52,-32, , , ,-32,-32, ,-32,-32, ,-32, , , , , ,-32, , , , , , , , , ,-32, ,-32,-32,-32,-32,-32, ,
53,-16, , , ,-16,-16, ,-16,-16, ,-16, , , , , ,-16, , , , ,55,54, ,14,15,16, ,17,18,19,20,21, ,
54,-28, , , ,-28,-28, ,-28,-28, ,-28, , , , , ,-28, , , , ,-28, , , , ,-28, ,-28,-28,-28,-28,-28, ,
55,-30, , , ,-30,-30, ,-30,-30, ,-30, , , , , ,-30, , , , ,-30, , , , ,-30, ,-30,-30,-30,-30,-30, ,
56,-15, , , ,-15,-15, ,-15,-15, ,-15, , , , , ,-15, , , , , , , , , ,-15, ,-15,-15,-15,-15,-15, ,
